sl_mult,tp_mult,min_adx,max_adx,min_rsi,max_rsi,min_vol_mult,use_ema,trades,win_rate,pf,sharpe,score
1.2,3.0,20,70,40,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
1.2,3.0,20,70,35,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
1.2,3.0,20,60,30,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
1.2,3.0,20,60,35,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
1.2,3.0,20,60,40,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
1.2,3.0,20,70,30,70,1.0,True,20,45.0,1.8482741641600688,0.27553537332585704,1.114244156745206
0.8,3.0,30,60,35,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
0.8,3.0,30,60,30,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
0.8,3.0,30,70,30,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
0.8,3.0,30,70,35,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
0.8,3.0,30,70,40,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
0.8,3.0,30,60,40,70,1.0,True,16,37.5,1.7815290851956052,0.24340643176366694,1.0519458289505361
1.2,2.5,20,60,40,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
1.2,2.5,20,70,30,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
1.2,2.5,20,60,35,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
1.2,2.5,20,60,30,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
1.2,2.5,20,70,35,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
1.2,2.5,20,70,40,70,1.0,True,23,47.82608695652174,1.7092471279657782,0.24865237680192823,1.0478323002128398
0.8,1.5,30,70,30,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
0.8,1.5,30,60,35,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
0.8,1.5,30,70,35,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
0.8,1.5,30,70,40,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
0.8,1.5,30,60,40,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
0.8,1.5,30,60,30,60,0.8,True,10,50.0,1.6787576895536533,0.23912531401024575,1.037203907578876
1.0,1.5,25,70,40,60,0.8,False,33,54.54545454545454,1.646146397007037,0.2336200171318442,1.0334335655662508
1.0,1.5,25,60,40,60,0.8,False,33,54.54545454545454,1.6366868568152786,0.2314059892396644,1.0282609898919357
1.2,2.5,20,70,30,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.2,2.5,20,60,40,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.2,2.5,20,70,35,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.2,2.5,20,60,30,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.2,2.5,20,60,35,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.2,2.5,20,70,40,60,0.6,True,19,47.368421052631575,1.6679606658710961,0.23409735883080468,1.0229050678596037
1.0,2.0,25,50,40,60,0.8,False,27,48.148148148148145,1.6643468693163601,0.2313788919053522,1.0228936574836949
1.2,1.5,20,70,40,60,0.8,False,49,57.14285714285714,1.6093872780315748,0.22665419232812198,1.0214530489099831
1.2,1.5,20,60,40,60,0.8,False,49,57.14285714285714,1.6035078377548482,0.2251691716678346,1.0182163246395624
1.2,1.5,20,50,40,60,0.8,False,48,56.25,1.5503019056771639,0.20908660155070805,0.9857182731487235
0.8,1.5,30,60,30,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
0.8,1.5,30,60,35,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
0.8,1.5,30,70,30,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
0.8,1.5,30,60,40,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
0.8,1.5,30,70,35,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
0.8,1.5,30,70,40,70,1.0,True,18,50.0,1.5612736950625417,0.20954531226453757,0.9725459099841783
1.5,2.0,25,50,40,60,0.8,False,25,56.00000000000001,1.5163794720224293,0.19638200575419754,0.9654661371620542
1.0,1.5,20,70,40,60,0.8,False,50,52.0,1.5364529628027115,0.20169873585006856,0.9645662285713695
1.2,1.5,25,70,40,60,0.8,False,32,56.25,1.5104505471931393,0.19470819494144995,0.9629169125848596
1.2,3.0,20,60,35,65,1.0,True,17,41.17647058823529,1.5938104714948802,0.206659220037419,0.9617664915196298
1.2,3.0,20,60,40,65,1.0,True,17,41.17647058823529,1.5938104714948802,0.206659220037419,0.9617664915196298
1.2,3.0,20,60,30,65,1.0,True,17,41.17647058823529,1.5938104714948802,0.206659220037419,0.9617664915196298
