trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,entry_adx,volume_ratio,tp_level,sl_level,result
1,2025-09-28 12:00:00,109255.9,2025-09-28 14:00:00,109705.48818920428,TP,449.58818920428166,0.41150014708979715,2,20.060852166872458,1.7939933301701283,109705.48818920428,108986.14708647743,WIN
2,2025-09-28 17:00:00,110165.5,2025-09-28 20:00:00,110696.13790223982,TP,530.6379022398178,0.4816733934306273,3,21.070391352263435,1.3309541866218786,110696.13790223982,109847.11725865612,WIN
3,2025-09-28 21:00:00,110786.8,2025-09-28 22:00:00,111372.81660573385,TP,586.0166057338502,0.5289588703111293,1,27.030396555714315,0.637259178840389,111372.81660573385,110435.1900365597,WIN
4,2025-09-28 23:00:00,112133.5,2025-09-29 01:00:00,111695.68487846218,SL,-437.8151215378166,-0.3904409668277692,2,33.52334169829758,2.393884653583648,112863.19186922969,111695.68487846218,LOSS
5,2025-09-29 02:00:00,111694.8,2025-09-29 12:00:00,112462.39717080818,TP,767.5971708081779,0.6872273112160798,10,39.30611409910625,1.1902963470016537,112462.39717080818,111234.2416975151,WIN
6,2025-09-29 13:00:00,113184.5,2025-09-29 14:00:00,114070.63261368901,TP,886.1326136890129,0.7829098628248682,1,45.00708995035017,3.814805698713708,114070.63261368901,112652.82043178659,WIN
7,2025-09-29 15:00:00,113762.5,2025-09-30 00:00:00,114730.63169241553,TP,968.1316924155253,0.8510112668194927,9,48.888140625566436,1.1864361672948271,114730.63169241553,113181.62098455068,WIN
8,2025-09-30 01:00:00,114461.4,2025-09-30 05:00:00,113902.95344047698,SL,-558.446559523014,-0.4878907295586233,4,57.0198549853226,0.8277989720790324,115392.14426587168,113902.95344047698,LOSS
9,2025-09-30 06:00:00,113846.7,2025-09-30 08:00:00,113355.82018313615,SL,-490.8798168638459,-0.43117614903536594,2,54.13686821845713,0.8658229872923986,114664.8330281064,113355.82018313615,LOSS
10,2025-09-30 09:00:00,112737.8,2025-09-30 13:00:00,113600.63814240153,TP,862.8381424015242,0.7653494590115508,4,45.99790515325939,1.8350360540929176,113600.63814240153,112220.09711455909,WIN
11,2025-09-30 14:00:00,113545.9,2025-09-30 15:00:00,112984.33541313885,SL,-561.5645868611464,-0.49457055416456813,1,35.179189351282126,1.4919325228711222,114481.84097810191,112984.33541313885,LOSS
12,2025-09-30 16:00:00,112786.1,2025-09-30 19:00:00,113760.55012907767,TP,974.450129077668,0.863980693611773,3,30.761512576654326,0.9209382653776214,113760.55012907767,112201.4299225534,WIN
13,2025-09-30 20:00:00,114594.8,2025-09-30 22:00:00,113948.54905971594,SL,-646.250940284066,-0.5639443851588954,2,30.125898250302196,1.3655454661900768,115671.88490047344,113948.54905971594,LOSS
14,2025-10-01 00:00:00,114197.1,2025-10-01 08:00:00,115225.3846116832,TP,1028.2846116831934,0.9004472194856028,8,30.97131360693434,0.6207614058284658,115225.3846116832,113580.12923299009,WIN
15,2025-10-01 09:00:00,116359.9,2025-10-01 15:00:00,117559.52642214496,TP,1199.6264221449674,1.0309620600782292,6,36.758123483353664,1.5582491497267335,117559.52642214496,115640.12414671302,WIN
16,2025-10-01 16:00:00,117480.0,2025-10-01 17:00:00,116755.83600967133,SL,-724.1639903286705,-0.616414700654299,1,51.21858206190981,1.7874907195865184,118686.93998388112,116755.83600967133,LOSS
17,2025-10-01 22:00:00,117684.5,2025-10-02 00:00:00,118817.3021369786,TP,1132.8021369786002,0.9625754767863229,2,53.30260400028832,0.7956175140772639,118817.3021369786,117004.81871781284,WIN
18,2025-10-02 03:00:00,118688.5,2025-10-02 15:00:00,119866.4369463713,TP,1177.9369463712937,0.9924608924801422,12,59.211249452157894,0.9208365202943644,119866.4369463713,117981.73783217723,WIN
19,2025-10-02 16:00:00,119690.8,2025-10-02 19:00:00,120992.41284753231,TP,1301.6128475323058,1.0874794449801537,3,56.70609634696494,1.89931263484831,120992.41284753231,118909.83229148062,WIN
20,2025-10-02 20:00:00,120578.8,2025-10-03 01:00:00,119794.76502595216,SL,-784.0349740478414,-0.6502262205693218,5,54.941152171717,0.7069010078648831,121885.5249567464,119794.76502595216,LOSS
21,2025-10-03 07:00:00,119584.8,2025-10-03 13:00:00,120621.36526259744,TP,1036.5652625974326,0.8668035256967713,6,38.94664891837152,0.6086597321053365,120621.36526259744,118962.86084244154,WIN
22,2025-10-03 14:00:00,120849.0,2025-10-03 15:00:00,121935.27028402456,TP,1086.270284024562,0.8988657614250528,1,27.013628888038117,2.8222711100969557,121935.27028402456,120197.23782958527,WIN
23,2025-10-03 16:00:00,122491.4,2025-10-03 17:00:00,121649.3677204077,SL,-842.0322795922984,-0.6874215492616612,1,30.859859199950197,6.060569294677045,123894.78713265383,121649.3677204077,LOSS
24,2025-10-03 18:00:00,122502.8,2025-10-04 18:00:00,121543.97910586174,SL,-958.8208941382618,-0.782693043863701,24,32.29566141580941,1.0544833626251031,124100.83482356377,121543.97910586174,LOSS
25,2025-10-04 19:00:00,121921.9,2025-10-05 02:00:00,122779.566582748,TP,857.6665827480028,0.7034557226782087,7,22.298725256190743,0.6644228445691985,122779.566582748,121407.30005035119,WIN
26,2025-10-05 03:00:00,123730.2,2025-10-05 04:00:00,124777.82723527733,TP,1047.6272352773376,0.8467029353200252,1,27.85643772907728,2.1149783338708796,124777.82723527733,123101.6236588336,WIN
27,2025-10-05 05:00:00,125094.5,2025-10-05 09:00:00,124327.53590991265,SL,-766.9640900873492,-0.6131077626013527,4,34.365232917065846,1.9184624885129844,126372.77348347893,124327.53590991265,LOSS
28,2025-10-05 10:00:00,122980.2,2025-10-05 16:00:00,122153.50548071339,SL,-826.6945192866115,-0.6722175759078384,6,36.36120907307364,1.2339852554389055,124358.02419881102,122153.50548071339,LOSS
29,2025-10-06 02:00:00,124083.1,2025-10-06 05:00:00,123262.01351333599,SL,-821.0864866640186,-0.6617230603232983,3,20.27980429021046,1.1455013281611766,125451.57747777336,123262.01351333599,LOSS
30,2025-10-06 13:00:00,124980.0,2025-10-07 02:00:00,124250.50517416463,SL,-729.4948258353688,-0.5836892509484468,13,20.824341380444203,2.497202030684217,126195.82470972562,124250.50517416463,LOSS
31,2025-10-07 05:00:00,124333.0,2025-10-07 07:00:00,123586.109835676,SL,-746.8901643239951,-0.600717560361284,2,20.954758169207118,0.6281255220813134,125577.81694054,123586.109835676,LOSS
32,2025-10-07 08:00:00,123801.0,2025-10-07 12:00:00,125054.52777637258,TP,1253.5277763725753,1.0125344515573989,4,21.257460434510364,1.3366540612065043,125054.52777637258,123048.88333417645,WIN
