trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,duration_hours,entry_atr,entry_adx,entry_rsi,volume_ratio,tp_level,sl_level,result
1,2025-10-04 21:00:00,122157.5,2025-10-05 02:00:00,122991.93292083884,TAKE_PROFIT,834.4329208388372,0.6830795660019542,5,5,417.2164604194185,21.865446959668155,56.994680452138326,0.852701375010512,122991.93292083884,121656.8402474967,WIN
2,2025-10-07 01:00:00,124652.8,2025-10-07 06:00:00,123861.09196482369,STOP_LOSS,-791.7080351763143,-0.6351305668034045,5,5,659.7566959802583,27.460262408990776,52.479833187530936,0.6094170272366569,125972.31339196052,123861.09196482369,LOSS
3,2025-10-19 23:00:00,108597.3,2025-10-20 00:00:00,107896.27476568887,STOP_LOSS,-701.0252343111351,-0.6455273145014978,1,1,584.1876952592819,24.247540922981056,58.06358216592468,0.7237948950861708,109765.67539051856,107896.27476568887,LOSS
4,2025-10-23 22:00:00,109870.0,2025-10-24 04:00:00,111487.1854188716,TAKE_PROFIT,1617.1854188715952,1.4719080903536863,6,6,808.5927094357994,24.285575157200537,54.87301670742757,0.6788536287957129,111487.1854188716,108899.68874867704,WIN
5,2025-10-25 17:00:00,111332.5,2025-10-26 09:00:00,112154.0995533925,TAKE_PROFIT,821.5995533925015,0.737969194433343,16,16,410.7997766962522,26.600452254116703,53.58936477022174,0.7447544687530541,112154.0995533925,110839.54026796449,WIN
6,2025-10-28 15:00:00,114592.3,2025-10-28 19:00:00,113804.51360695685,STOP_LOSS,-787.7863930431486,-0.6874688727280529,4,4,656.4886608692857,21.121426231598036,51.579954665314546,1.6329727569043362,115905.27732173857,113804.51360695685,LOSS
