openInterest,timestamp
53198.386,2025-10-28 20:00:00
53828.58,2025-10-28 19:00:00
54161.566,2025-10-28 18:00:00
54054.201,2025-10-28 17:00:00
54381.861,2025-10-28 16:00:00
53977.933,2025-10-28 15:00:00
53898.187,2025-10-28 14:00:00
54276.24,2025-10-28 13:00:00
54447.248,2025-10-28 12:00:00
54352.171,2025-10-28 11:00:00
54612.342,2025-10-28 10:00:00
54708.449,2025-10-28 09:00:00
54709.414,2025-10-28 08:00:00
53894.042,2025-10-28 07:00:00
53359.057,2025-10-28 06:00:00
53392.655,2025-10-28 05:00:00
53379.493,2025-10-28 04:00:00
53491.562,2025-10-28 03:00:00
53691.224,2025-10-28 02:00:00
53418.622,2025-10-28 01:00:00
53360.696,2025-10-28 00:00:00
54076.765,2025-10-27 23:00:00
54003.603,2025-10-27 22:00:00
54063.942,2025-10-27 21:00:00
54352.241,2025-10-27 20:00:00
54397.755,2025-10-27 19:00:00
54185.244,2025-10-27 18:00:00
54194.367,2025-10-27 17:00:00
54332.273,2025-10-27 16:00:00
54247.747,2025-10-27 15:00:00
54844.256,2025-10-27 14:00:00
54806.64,2025-10-27 13:00:00
54147.265,2025-10-27 12:00:00
54092.305,2025-10-27 11:00:00
53983.892,2025-10-27 10:00:00
54140.834,2025-10-27 09:00:00
54186.931,2025-10-27 08:00:00
54092.754,2025-10-27 07:00:00
53779.627,2025-10-27 06:00:00
53458.501,2025-10-27 05:00:00
53269.575,2025-10-27 04:00:00
53236.69,2025-10-27 03:00:00
52865.056,2025-10-27 02:00:00
52732.958,2025-10-27 01:00:00
52192.671,2025-10-27 00:00:00
