timestamp,open,high,low,close,volume,turnover
2025-10-05 08:00:00,124682.8,124815.7,124462.8,124551.5,2076.292,258789245.7538
2025-10-05 09:00:00,124551.5,124622.8,122724.6,122973.8,15599.546,1925970259.119
2025-10-05 10:00:00,122973.8,123103.6,122461.7,122980.2,5187.102,637061076.4578
2025-10-05 11:00:00,122980.2,123513.0,122790.9,123414.4,3744.923,461402221.2268
2025-10-05 12:00:00,123414.4,123414.5,122859.6,123039.0,3675.813,452558565.2243
2025-10-05 13:00:00,123039.0,123308.3,123010.9,123120.0,1719.12,211768255.2082
2025-10-05 14:00:00,123120.0,123290.0,122717.7,122978.0,2173.482,267340391.3941
2025-10-05 15:00:00,122978.0,122978.0,122601.8,122753.1,1256.562,154305992.6429
2025-10-05 16:00:00,122753.1,123300.0,122104.0,123212.6,6284.904,771091577.6912
2025-10-05 17:00:00,123212.6,123483.0,122840.2,123016.9,2764.172,340564563.8753
2025-10-05 18:00:00,123016.9,123171.0,122807.1,122966.9,1243.109,152900318.1738
2025-10-05 19:00:00,122966.9,122988.1,122449.2,122543.9,2283.432,280157593.2298
2025-10-05 20:00:00,122543.9,123013.2,122418.7,122656.4,1239.906,152183079.1505
2025-10-05 21:00:00,122656.4,122750.0,122450.1,122697.8,685.392,84027265.2012
2025-10-05 22:00:00,122697.8,123233.7,122696.8,123192.4,1716.534,211192051.5566
2025-10-05 23:00:00,123192.4,123577.6,123161.6,123447.9,2330.02,287548414.6656
2025-10-06 00:00:00,123447.9,124331.0,122989.1,123303.6,10459.199,1293233717.2103
2025-10-06 01:00:00,123303.6,124203.3,123144.5,123990.1,3860.04,477722313.3387
2025-10-06 02:00:00,123990.1,124227.8,123427.0,124083.1,4382.628,542231807.884
2025-10-06 03:00:00,124083.1,124097.9,123695.0,123783.1,1046.013,129594349.3529
2025-10-06 04:00:00,123783.1,123959.0,123532.0,123550.0,1079.091,133530515.1454
2025-10-06 05:00:00,123550.0,123723.7,123251.9,123539.8,2559.553,315927544.3273
2025-10-06 06:00:00,123539.8,124140.7,123539.8,123911.3,2507.884,310682537.5754
2025-10-06 07:00:00,123911.3,123995.9,123230.0,123344.1,2900.831,358481233.6782
2025-10-06 08:00:00,123344.1,123858.0,123344.1,123812.6,1304.379,161270210.5388
2025-10-06 09:00:00,123812.6,124038.4,123729.8,123922.6,1725.694,213779719.4637
2025-10-06 10:00:00,123922.6,124115.0,123857.6,123927.3,1585.785,196649061.1419
2025-10-06 11:00:00,123927.3,124535.7,123684.5,124165.7,5098.932,632978764.1218
