sl_multiplier,tp_multiplier,min_adx,rsi_min,rsi_max,volume_mult,disabled_scenarios,profit_factor,win_rate,total_trades,roi,sharpe,avg_win,avg_loss,total_pnl,score
1.0,3.5,20,35,65,0.8,"SCN_024,SCN_023",2.590167532664586,42.5531914893617,94,0.15564541011750407,0.4085974459449309,0.6338132297593062,0.18125904034485732,15.564541011749954,1.0128975305274521
1.0,3.5,20,35,70,0.8,"SCN_024,SCN_023",2.5527095741566708,42.15686274509804,102,0.1656784596459329,0.401875795783371,0.6334447906179194,0.1808522039318806,16.567845964589576,0.9998664352279026
1.0,3.5,25,35,65,0.8,"SCN_024,SCN_023",2.473053880877695,41.46341463414634,82,0.12828879791688452,0.38720732237897953,0.633468121766642,0.18143825725791465,12.828879791685921,0.9732877763411295
1.0,3.0,20,35,70,0.8,"SCN_024,SCN_023",2.291094226376996,43.269230769230774,104,0.13773290377979722,0.3673759063910738,0.5431380162917826,0.18081220940929554,13.773290377981779,0.9419718167069909
1.0,3.5,25,35,70,0.8,"SCN_024,SCN_023",2.376018195765642,40.44943820224719,89,0.13197063729923686,0.36899792511017604,0.632995173430096,0.18095778327470008,13.197063729924357,0.9394994054816567
1.0,3.0,20,35,65,0.8,"SCN_024,SCN_023",2.2764776642320426,43.15789473684211,95,0.1249113309846325,0.36437963894306924,0.5433355892757475,0.18121529744148088,12.49113309846568,0.9371712193727251
1.0,3.5,28,35,65,0.8,"SCN_024,SCN_023",2.3561608659710345,40.25974025974026,77,0.11307149799344189,0.36492136203758246,0.6337021526406813,0.1812525420113047,11.307149799341104,0.9326690178107605
1.2,3.5,20,35,65,0.8,"SCN_024,SCN_023",2.2427810776863146,43.47826086956522,92,0.14047666368398495,0.35984650680097097,0.6337769556192231,0.2173733049302536,14.04766636839574,0.9311160895501569
1.0,3.5,20,40,65,0.8,"SCN_024,SCN_023",2.335774477829066,40.0,70,0.10125550130618648,0.36056503000717754,0.6323512250653618,0.18048295645764761,10.125550130608929,0.9251082164946449
1.0,3.5,20,40,70,0.8,"SCN_024,SCN_023",2.315057373568538,39.743589743589745,78,0.1112831023482613,0.35665089700378627,0.631952721345245,0.18004732184832195,11.12831023483146,0.9175705879486745
1.0,3.5,25,35,65,1.2,"SCN_024,SCN_023",2.30683657987571,40.0,45,0.06422136067061729,0.354733134784532,0.6297998383005815,0.18200966749438158,6.422136067062164,0.9173840577684209
1.0,2.5,20,35,65,0.8,"SCN_024,SCN_023",2.1116809879083744,45.83333333333333,96,0.10476775503409953,0.3438534055515131,0.45229636031479126,0.18123585289311336,10.476775503408918,0.9167011314372062
1.2,3.5,20,35,70,0.8,"SCN_024,SCN_023",2.203237531135024,43.0,100,0.14874382308287748,0.3515206500470593,0.6334034656219143,0.21687660900811281,14.874382308279879,0.9166755322726823
1.0,3.5,28,35,70,0.8,"SCN_024,SCN_023",2.3106415798630633,39.75903614457831,83,0.11851923439318852,0.3561669559079983,0.6331746805485746,0.18085682037576123,11.8519234393149,0.9165831504426742
1.0,2.5,20,35,70,0.8,"SCN_024,SCN_023",2.1059381728386213,45.714285714285715,105,0.11398043590610542,0.34254816745576605,0.4521721859221481,0.18081090059039925,11.398043590610348,0.9141912206192583
1.0,3.5,20,35,65,1.0,"SCN_024,SCN_023",2.3007762162914034,39.726027397260275,73,0.10383491347947711,0.3542464682761855,0.6333112447418,0.1814212443082302,10.383491347950072,0.9136970810254406
1.0,3.5,25,35,65,1.0,"SCN_024,SCN_023",2.2908338070155687,39.682539682539684,63,0.08911573108893207,0.3521396727581453,0.6326122802363094,0.1816772078160284,8.911573108898658,0.9106781512236412
1.0,3.5,20,35,70,1.0,"SCN_024,SCN_023",2.284636940259285,39.50617283950617,81,0.11387898430570204,0.3511201906664584,0.632893149881958,0.18091188501320812,11.38789843057546,0.9076513672209587
1.0,3.5,20,35,65,1.2,"SCN_024,SCN_023",2.279088951779148,39.62264150943396,53,0.0743580898462824,0.34957985853616014,0.6309129739362932,0.18166760837591656,7.435808984632827,0.9070318639132996
1.0,3.0,25,35,65,0.8,"SCN_024,SCN_023",2.1830418766910458,42.168674698795186,83,0.10300899638894408,0.34470696482043395,0.5430865664991564,0.18139854559541221,10.300899638890689,0.9041769962883445
1.0,3.5,25,40,65,0.8,"SCN_024,SCN_023",2.267236253333821,39.34426229508197,61,0.08466158668097705,0.34704257758410173,0.6311234983580191,0.18056230520236888,8.466158668104807,0.9016163204025642
1.2,3.5,25,35,65,0.8,"SCN_024,SCN_023",2.151775087068445,42.5,80,0.11527991579367153,0.34030556986806143,0.6334377299800573,0.21758459217302753,11.52799157936268,0.8987984486273141
1.0,2.5,25,35,65,0.8,"SCN_024,SCN_023",2.0581567435535018,45.23809523809524,84,0.08831495969807292,0.33138228184814056,0.45204234669225407,0.1814372435761192,8.83149596980417,0.8973717157086024
1.0,3.0,25,35,70,0.8,"SCN_024,SCN_023",2.151040692801093,41.75824175824176,91,0.11037217817094643,0.33787526382472166,0.5427926591347516,0.18092270245334527,11.037217817093257,0.8922879730236428
1.0,3.0,28,35,65,0.8,"SCN_024,SCN_023",2.150456925324501,41.77215189873418,79,0.09590448554696196,0.33753268803664205,0.5432320255048452,0.18122191928193387,9.590448554690932,0.8922059457716974
1.0,2.5,28,35,65,0.8,"SCN_024,SCN_023",2.0408819787813544,45.0,80,0.08301327222354302,0.32716654573610254,0.452128031628358,0.18125640718800595,8.301327222348629,0.8907335526716665
1.0,3.5,20,35,70,1.2,"SCN_024,SCN_023",2.229501351386289,38.983050847457626,59,0.08010125561077075,0.33963457040942907,0.6315245198371168,0.18097051097724035,8.010125561073036,0.8886871505046999
1.0,2.5,25,35,70,0.8,"SCN_024,SCN_023",2.0076282928801055,44.565217391304344,92,0.09298059430784633,0.3195136557709754,0.4518470123632555,0.18093466815890738,9.298059430789198,0.8782206167642885
1.0,3.0,20,40,70,0.8,"SCN_024,SCN_023",2.114187141670324,41.25,80,0.09426919623401772,0.3293521604331384,0.5420522472876843,0.18001711781034466,9.426919623407386,0.8782023597952654
1.0,3.5,25,35,70,1.0,"SCN_024,SCN_023",2.1919026244008473,38.57142857142858,70,0.09279459192235663,0.3324479223511028,0.6320324589563808,0.18105621394379928,9.279459192238914,0.8754233613234768
1.0,3.0,28,35,70,0.8,"SCN_024,SCN_023",2.1012380286373475,41.17647058823529,85,0.09956588170314717,0.32689006544949534,0.5427958911411567,0.1808253603925167,9.956588170314646,0.8741823156295127
1.0,2.0,25,40,65,0.8,"SCN_024,SCN_023",1.8686891098114207,48.4375,64,0.051844545511066834,0.2974078185537255,0.3597609781675741,0.18085259915447333,5.184454551097179,0.8730954287149525
1.0,2.0,20,40,70,0.8,"SCN_024,SCN_023",1.8588471253847854,48.19277108433735,83,0.06654910612345702,0.2951398372057791,0.3600891560273355,0.180201293691796,6.6549106123461925,0.8684631374654451
1.0,3.0,20,35,70,1.0,"SCN_024,SCN_023",2.0820657667178404,40.963855421686745,83,0.09590454902481724,0.3226717302686891,0.5427515551292457,0.18087955044728227,9.590454902477525,0.8673048106524383
1.0,2.5,28,35,70,0.8,"SCN_024,SCN_023",1.9779613104597187,44.18604651162791,86,0.08488903659885182,0.31227082771030346,0.4518186221170089,0.1808375829283356,8.488903659886232,0.8670578158186749
1.2,3.0,20,35,70,0.8,"SCN_024,SCN_023",1.9774410741655855,44.11764705882353,102,0.12080386858673592,0.31228798379564915,0.5431018650535391,0.21682801874961055,12.080386858681461,0.8663920910751663
1.0,2.0,20,35,70,0.8,"SCN_024,SCN_023",1.8523204143552492,48.148148148148145,108,0.08635169456043514,0.293918932270258,0.36089489882894343,0.18091723719752867,8.635169456043448,0.8663797705797863
1.0,3.5,25,40,70,0.8,"SCN_024,SCN_023",2.168185149701915,38.23529411764706,68,0.08834182183756639,0.32724189555413097,0.6306344446236397,0.18005508039170615,8.834182183762973,0.8663325371306452
1.2,3.5,25,35,70,0.8,"SCN_024,SCN_023",2.0590000822501735,41.37931034482759,87,0.11719746198483336,0.31987738279431743,0.6329597238596694,0.21699615412680398,11.719746198481094,0.8647807324160472
1.2,3.0,20,35,65,0.8,"SCN_024,SCN_023",1.9711666447044878,44.086021505376344,93,0.10974811590351238,0.3107512196491858,0.5433038720847327,0.21732013779091727,10.974811590346352,0.8644189257489222
1.0,3.0,20,40,65,0.8,"SCN_024,SCN_023",2.074742683386523,40.845070422535215,71,0.08145318850482,0.32060414297932727,0.5422128878922472,0.18044892615205574,8.145318850488831,0.8643012133336916
1.2,3.5,28,35,65,0.8,"SCN_024,SCN_023",2.0540965251000425,41.333333333333336,75,0.1008061095636549,0.31850970680067,0.6336736184323878,0.21734707306910306,10.080610956363488,0.8630408069901216
1.0,2.0,20,40,65,0.8,"SCN_024,SCN_023",1.836903512266173,47.94520547945205,73,0.05747101858276437,0.2891650135645359,0.3604058270959162,0.180713212896824,5.74710185827775,0.8603666322918128
1.0,2.0,25,40,70,0.8,"SCN_024,SCN_023",1.8363743303868862,47.94520547945205,73,0.057286993650523074,0.2890252074226597,0.35937553243654863,0.18024853342729574,5.728699365041962,0.8602198554963332
1.0,2.0,20,35,65,0.8,"SCN_024,SCN_023",1.835411110477291,47.95918367346938,98,0.07727181051897787,0.2893518441855682,0.36120715100638356,0.18136382441962476,7.72718105189916,0.8601613691967176
1.2,3.5,20,40,65,0.8,"SCN_024,SCN_023",2.045736949996194,41.17647058823529,68,0.09050482313517932,0.31623426280624334,0.6323259839492741,0.21636613092671345,9.050482313511138,0.8594560968393682
1.0,2.5,20,40,70,0.8,"SCN_024,SCN_023",1.9514355011094382,43.75,80,0.07706288196653986,0.3054590102982393,0.45159804320319,0.1799920736768804,7.706288196652033,0.8562447853085755
1.0,3.5,28,35,65,1.2,"SCN_024,SCN_023",2.1343560538316106,38.095238095238095,42,0.053568921818623494,0.3196348963419106,0.6299562656861873,0.1816310795813489,5.356892181863927,0.8560508000462658
1.0,3.5,25,35,70,1.2,"SCN_024,SCN_023",2.1326235397977893,38.0,50,0.0636020675891814,0.31963562449047567,0.6302984631166719,0.18114400129977287,6.360206758923805,0.8548847633678969
1.0,3.5,28,40,65,0.8,"SCN_024,SCN_023",2.1345930147938237,37.93103448275862,58,0.07376495141515989,0.3201421082845331,0.6308155033821238,0.18059572035805577,7.376495141516718,0.8548769973613833
